record,yr,mo,dy,date,time,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1,1950,4,27,4/27/1950,16:00:00,SC,1,0,0,33.07,-80,0,0,0.7,37
2,1950,5,12,5/12/1950,14:00:00,NC,1,0,0,35.75,-77.42,0,0,2,10
3,1950,5,12,5/12/1950,17:00:00,NC,1,0,0,35.73,-78.4,0,0,1,200
4,1950,5,12,5/12/1950,17:00:00,NC,0,0,0,35.73,-78.4,0,0,1,200
5,1950,5,14,5/14/1950,17:00:00,NC,1,0,0,35.3,-79.8,35.33,-79.75,3.8,50
6,1950,5,14,5/14/1950,17:30:00,NC,2,5,0,35,-80.68,0,0,2,10
7,1950,5,31,5/31/1950,15:30:00,NC,1,0,0,35.42,-77.25,0,0,0.1,10
8,1950,7,26,7/26/1950,15:30:00,NC,1,0,0,35.53,-77.4,0,0,0.1,10
9,1950,7,27,7/27/1950,16:20:00,NC,1,0,0,35.4,-80.57,0,0,0.1,10
10,1950,10,9,10/9/1950,2:15:00,NC,3,3,0,34.17,-78.6,0,0,2,880
11,1951,6,9,6/9/1951,17:00:00,NC,1,0,0,36,-78.33,36.03,-78.28,3.8,30
12,1951,6,13,6/13/1951,15:30:00,NC,1,0,0,34.4,-77.53,0,0,1,20
13,1951,6,24,6/24/1951,14:00:00,SC,1,0,0,33.32,-81.13,0,0,0.1,10
14,1951,7,6,7/6/1951,11:00:00,NC,1,0,0,33.92,-78.23,0,0,0.1,10
15,1951,8,9,8/9/1951,11:00:00,NC,2,0,0,35.75,-81.33,0,0,0.5,100
16,1952,4,5,4/5/1952,0:45:00,NC,2,0,0,35.8,-78.88,35.9,-78.88,6.9,300
17,1952,5,10,5/10/1952,11:00:00,NC,2,6,0,36.1,-77.25,0,0,0.1,10
18,1952,5,10,5/10/1952,14:00:00,SC,3,4,2,34.8,-82.25,34.8,-81.85,22.7,83
19,1952,5,20,5/20/1952,11:00:00,NC,2,2,0,35.47,-76.38,0,0,1.5,33
20,1952,6,12,6/12/1952,19:00:00,SC,1,0,0,33.42,-81.42,0,0,2,167
21,1952,7,23,7/23/1952,11:00:00,NC,2,0,0,36.25,-77.75,0,0,0.1,10
22,1952,8,31,8/31/1952,11:00:00,NC,1,0,0,36.25,-80.17,0,0,0.1,10
23,1952,9,17,9/17/1952,11:30:00,NC,3,0,0,35.95,-75.6,0,0,1,50
24,1952,11,19,11/19/1952,22:37:00,NC,2,1,0,36.43,-78.72,0,0,1,50
25,1953,1,8,1/8/1953,16:15:00,SC,2,2,0,34.02,-79.77,34.12,-79.65,9.6,150
26,1953,3,15,3/15/1953,20:00:00,NC,3,1,0,35.77,-78.1,35.75,-77.57,30.1,27
27,1953,4,16,4/16/1953,11:00:00,NC,2,0,0,35.57,-77.18,0,0,2,100
28,1953,4,30,4/30/1953,18:00:00,NC,1,0,0,35,-77.67,0,0,0.1,10
29,1953,5,31,5/31/1953,16:30:00,SC,1,0,0,32.95,-80.47,32.97,-80.4,4.3,200
30,1953,6,1,6/1/1953,15:30:00,SC,1,0,0,33.5,-81.03,33.52,-80.98,3,67
31,1953,8,7,8/7/1953,1:00:00,SC,1,0,0,33.37,-79.3,33.4,-79.22,5.4,100
32,1954,2,16,2/16/1954,19:02:00,SC,1,0,0,35.07,-81.65,0,0,1,33
33,1954,2,21,2/21/1954,9:50:00,NC,1,0,0,35.2,-80,35.3,-79.73,16.6,27
34,1954,6,16,6/16/1954,12:30:00,NC,2,1,0,36.17,-79.8,36.2,-79.7,6.1,100
35,1954,6,23,6/23/1954,16:15:00,NC,1,0,0,34.22,-77.78,0,0,2,27
36,1954,6,27,6/27/1954,14:12:00,NC,1,0,0,35.57,-77.05,0,0,1,50
37,1954,8,17,8/17/1954,14:30:00,NC,2,0,0,35.78,-79.55,0,0,2.1,110
38,1954,8,18,8/18/1954,15:00:00,NC,2,0,0,35.67,-81.2,35.73,-81.15,5.4,50
39,1954,9,20,9/20/1954,13:00:00,NC,2,4,0,35.72,-77.9,0,0,0.5,100
40,1954,11,2,11/2/1954,13:30:00,NC,2,0,0,34.37,-77.7,0,0,0.1,27
41,1954,11,28,11/28/1954,22:30:00,NC,1,0,0,35.4,-80.6,0,0,2,500
42,1955,3,13,3/13/1955,21:00:00,SC,2,10,2,33.85,-81.67,33.88,-81.5,9.9,133
43,1955,3,16,3/16/1955,14:30:00,NC,2,1,1,35.6,-77.97,35.65,-77.87,6.6,500
44,1955,4,6,4/6/1955,12:30:00,SC,1,0,0,34.7,-80.9,0,0,1.5,100
45,1955,5,5,5/5/1955,17:00:00,NC,1,0,0,36.27,-76.4,0,0,0.1,10
46,1955,5,30,5/30/1955,13:30:00,NC,1,0,0,34.75,-77.42,0,0,0.1,27
47,1955,6,11,6/11/1955,10:30:00,SC,0,0,0,34.02,-81,0,0,0.8,50
48,1955,6,11,6/11/1955,15:00:00,NC,2,0,0,35.77,-77.52,35.88,-77.2,19.4,200
49,1955,6,23,6/23/1955,14:00:00,SC,0,0,0,34.5,-82.67,0,0,0.2,23
50,1955,6,25,6/25/1955,14:45:00,NC,1,0,0,36.2,-76.5,0,0,0.1,10
51,1955,8,10,8/10/1955,13:30:00,SC,1,5,0,33.72,-79.05,0,0,0.3,200
52,1955,8,10,8/10/1955,17:00:00,SC,2,0,0,34.37,-79.43,34.33,-79.28,8.8,77
53,1955,8,10,8/10/1955,17:30:00,NC,1,1,0,34.67,-78.07,0,0,1,50
54,1955,12,4,12/4/1955,16:30:00,SC,2,0,0,34.38,-79.6,0,0,0.8,100
55,1956,2,20,2/20/1956,6:20:00,SC,1,1,0,33.43,-80.03,0,0,0.5,10
56,1956,3,8,3/8/1956,11:00:00,NC,1,0,0,35.75,-82.25,0,0,0.2,27
57,1956,3,18,3/18/1956,13:30:00,NC,1,0,0,35.4,-77.4,0,0,1,40
58,1956,3,18,3/18/1956,14:30:00,NC,2,0,0,35.87,-78.8,0,0,0.3,100
59,1956,3,18,3/18/1956,14:30:00,NC,1,1,0,35.7,-78.6,0,0,0.3,50
60,1956,3,18,3/18/1956,14:45:00,NC,1,0,0,36.25,-78.3,0,0,1,50
61,1956,3,18,3/18/1956,15:30:00,NC,0,0,0,35.3,-78,0,0,1,30
62,1956,3,18,3/18/1956,17:00:00,NC,1,1,0,35.42,-76.32,0,0,1,150
63,1956,4,6,4/6/1956,12:30:00,SC,2,1,0,34.13,-82.38,34.2,-82.33,5.4,100
64,1956,4,6,4/6/1956,13:00:00,NC,1,0,0,35.2,-81.3,35.2,-80.3,56.4,100
65,1956,4,6,4/6/1956,15:30:00,NC,2,0,0,35.5,-79.07,35.55,-78.82,14.4,100
66,1956,5,3,5/3/1956,16:00:00,SC,1,0,0,32.75,-81.22,32.78,-81.05,10.1,50
67,1956,6,25,6/25/1956,13:30:00,SC,1,0,0,34.47,-79.4,0,0,3,33
68,1956,8,2,8/2/1956,11:45:00,NC,1,0,0,35.87,-75.7,0,0,0.1,10
69,1956,8,13,8/13/1956,15:15:00,SC,1,0,0,34.58,-82.62,0,0,0.3,83
70,1956,9,25,9/25/1956,9:00:00,SC,0,0,0,32.17,-80.72,0,0,0.5,37
71,1957,1,29,1/29/1957,16:15:00,NC,1,0,0,35.77,-80.93,0,0,0.6,150
72,1957,4,5,4/5/1957,6:45:00,SC,2,1,0,33.83,-81.53,34.03,-81.25,21.3,40
73,1957,4,5,4/5/1957,7:14:00,SC,1,0,0,34.2,-81.53,34.22,-81.48,3.3,100
74,1957,4,5,4/5/1957,15:30:00,NC,1,0,0,36.17,-76.1,36.2,-76,6.1,37
75,1957,4,5,4/5/1957,17:10:00,NC,1,0,0,36.15,-80.75,36.15,-80.67,4.7,50
76,1957,4,5,4/5/1957,19:30:00,SC,1,0,0,34.7,-80.78,0,0,1,33
77,1957,4,5,4/5/1957,19:35:00,NC,1,1,0,36,-80.08,36.02,-80,4.7,50
78,1957,4,8,4/8/1957,15:00:00,SC,2,2,0,34.63,-81.78,34.63,-81.52,15.2,100
79,1957,4,8,4/8/1957,16:00:00,SC,4,70,4,34.63,-80.58,34.95,-78.5,121.4,150
80,1957,4,8,4/8/1957,19:00:00,NC,4,21,0,34.68,-79.2,0,0,0.8,150
81,1957,4,8,4/8/1957,20:00:00,NC,3,29,0,34.83,-78.08,0,0,8,150
82,1957,5,22,5/22/1957,7:50:00,SC,0,0,0,32.75,-79.92,0,0,2,10
83,1957,6,30,6/30/1957,17:00:00,SC,1,0,0,34.15,-79.25,0,0,2,33
84,1957,11,8,11/8/1957,17:30:00,NC,3,5,0,35.7,-77.75,36,-77,46.9,150
85,1958,2,27,2/27/1958,15:00:00,NC,0,0,0,34.67,-78.95,0,0,0.1,10
86,1958,4,22,4/22/1958,12:30:00,SC,1,0,0,34.17,-82.03,0,0,2,37
87,1958,4,22,4/22/1958,13:20:00,SC,2,1,1,33.58,-80.65,33.62,-80.35,17.7,100
88,1958,5,6,5/6/1958,14:20:00,SC,1,1,0,32.87,-80.73,0,0,0.3,100
89,1958,5,6,5/6/1958,14:30:00,SC,0,0,0,33.25,-80.58,0,0,0.3,33
90,1958,6,12,6/12/1958,15:00:00,NC,1,0,0,34.2,-77.85,0,0,1,100
91,1958,7,24,7/24/1958,16:00:00,NC,1,1,0,35.92,-75.7,0,0,2.5,100
92,1958,7,29,7/29/1958,15:00:00,NC,0,0,0,35.83,-80.3,0,0,0.1,50
93,1959,1,21,1/21/1959,19:45:00,NC,1,0,0,35.95,-80.9,35.98,-80.82,5.2,300
94,1959,1,21,1/21/1959,20:15:00,NC,1,0,0,36.3,-80.5,0,0,0.3,100
95,1959,4,29,4/29/1959,17:30:00,SC,0,0,0,33.32,-80.42,0,0,0.2,17
96,1959,6,2,6/2/1959,13:00:00,NC,1,0,0,34.2,-78.6,0,0,0.1,10
97,1959,6,2,6/2/1959,13:00:00,NC,0,0,0,35.2,-78.9,0,0,0.1,10
98,1959,6,2,6/2/1959,13:40:00,SC,1,0,0,33.8,-79.02,0,0,2,57
99,1959,6,4,6/4/1959,15:00:00,NC,1,0,0,35.5,-77.3,0,0,1,200
100,1959,7,10,7/10/1959,7:00:00,NC,1,0,0,36.3,-76.2,0,0,0.1,10
101,1959,7,10,7/10/1959,13:05:00,NC,1,0,0,36,-75.67,0,0,0.1,10
102,1959,7,10,7/10/1959,14:40:00,NC,0,0,0,35.93,-75.63,0,0,0.1,10
103,1959,9,6,9/6/1959,13:45:00,SC,0,0,0,34.62,-82.3,0,0,0.1,10
104,1959,9,29,9/29/1959,12:00:00,NC,1,0,0,36.1,-79.9,0,0,0.1,10
105,1959,9,29,9/29/1959,13:20:00,NC,1,0,0,36.12,-78.75,0,0,0.1,10
106,1959,9,30,9/30/1959,6:00:00,SC,1,0,0,33.58,-79,0,0,0.3,100
107,1959,10,15,10/15/1959,1:10:00,NC,1,1,0,34,-77.9,0,0,0.3,27
108,1960,2,18,2/18/1960,12:30:00,NC,1,0,0,34.7,-78,0,0,0.1,10
109,1960,2,18,2/18/1960,12:45:00,NC,1,0,0,35.23,-80.9,35.4,-80.53,23.7,10
110,1960,2,18,2/18/1960,13:00:00,NC,1,0,0,35.63,-80.12,0,0,0.1,10
111,1960,2,18,2/18/1960,13:50:00,NC,1,0,0,35.42,-78.75,0,0,1.5,100
112,1960,3,30,3/30/1960,17:00:00,SC,2,0,0,34.42,-82,34.45,-81.83,9.8,50
113,1960,3,30,3/30/1960,17:00:00,NC,1,0,0,36.23,-80.7,36.35,-79.7,56.2,50
114,1960,3,30,3/30/1960,19:06:00,SC,2,0,0,34.25,-81.45,34.27,-81.35,5.9,57
115,1960,5,8,5/8/1960,12:30:00,NC,1,0,0,34.87,-78.3,35,-78.13,13.2,27
116,1960,5,27,5/27/1960,9:00:00,NC,2,1,0,35.4,-76.1,0,0,0.1,10
117,1960,9,11,9/11/1960,13:00:00,SC,3,10,0,32.78,-79.83,32.8,-79.98,8.8,100
118,1960,9,11,9/11/1960,13:00:00,NC,1,0,0,34.6,-78.6,34.68,-78.35,15.4,800
119,1960,9,11,9/11/1960,15:00:00,SC,1,0,0,33.58,-79,0,0,0.8,60
120,1960,9,11,9/11/1960,16:00:00,NC,2,8,0,34.92,-78.33,0,0,1,37
121,1960,10,4,10/4/1960,5:45:00,NC,1,0,0,35.07,-78.8,0,0,0.5,200
122,1961,2,24,2/24/1961,17:30:00,SC,1,5,0,33.32,-81.78,0,0,0.5,60
123,1961,2,24,2/24/1961,18:00:00,SC,1,2,0,33.42,-81.68,0,0,0.5,50
124,1961,2,24,2/24/1961,19:00:00,SC,0,0,0,33.67,-81.12,0,0,0.5,37
125,1961,2,25,2/25/1961,11:06:00,NC,1,0,0,34.55,-78.08,0,0,0.1,10
126,1961,4,12,4/12/1961,9:00:00,SC,1,0,0,32.18,-80.75,0,0,0.1,10
127,1961,4,12,4/12/1961,9:43:00,SC,1,0,0,32.73,-79.95,0,0,2.5,67
128,1961,4,12,4/12/1961,16:10:00,SC,1,0,1,34.37,-80.07,0,0,0.5,40
129,1961,4,12,4/12/1961,17:10:00,NC,1,0,0,35.3,-80.9,0,0,1,200
130,1961,5,11,5/11/1961,15:00:00,NC,0,0,0,35.9,-80.1,0,0,0.5,27
131,1961,6,21,6/21/1961,10:45:00,NC,2,0,0,34.95,-77.95,0,0,1,50
132,1961,6,21,6/21/1961,11:13:00,NC,1,1,0,35.23,-78.07,0,0,1,50
133,1961,6,21,6/21/1961,12:22:00,SC,2,1,0,34.18,-79.4,34.23,-79.3,6.8,167
134,1961,7,15,7/15/1961,17:30:00,SC,1,0,0,33.75,-80.2,0,0,0.5,100
135,1961,7,16,7/16/1961,14:00:00,SC,0,0,0,34.95,-81.05,0,0,0.3,10
136,1961,7,26,7/26/1961,16:30:00,NC,1,0,0,36.3,-77.72,0,0,0.1,10
137,1961,8,1,8/1/1961,17:15:00,NC,1,0,0,34.7,-77.1,0,0,1,50
138,1961,8,18,8/18/1961,19:30:00,SC,1,0,0,34.72,-82.78,0,0,0.1,33
139,1961,8,20,8/20/1961,11:00:00,NC,1,2,0,35.3,-77.6,0,0,1,27
140,1961,11,23,11/23/1961,11:00:00,SC,0,0,0,33.2,-80.92,0,0,0.1,10
141,1961,11,23,11/23/1961,11:45:00,SC,1,0,0,33.25,-80.82,0,0,0.3,13
142,1961,11,23,11/23/1961,12:00:00,SC,1,1,0,33,-80.65,0,0,0.4,60
143,1962,1,6,1/6/1962,7:15:00,SC,1,1,0,33.85,-82.25,0,0,1,100
144,1962,2,9,2/9/1962,17:00:00,SC,1,0,0,34.13,-80.2,0,0,1.5,80
145,1962,2,22,2/22/1962,16:45:00,SC,2,1,0,34.18,-79.4,34.2,-79.25,8.7,100
146,1962,2,22,2/22/1962,17:30:00,SC,1,0,0,33.67,-79.65,0,0,1.5,60
147,1962,4,8,4/8/1962,6:05:00,SC,0,0,0,34.2,-79.65,0,0,0.2,50
148,1962,4,8,4/8/1962,9:00:00,NC,0,0,0,35.03,-78.3,35.6,-77.4,64.1,10
149,1962,5,15,5/15/1962,17:10:00,SC,1,2,0,34.72,-79.85,0,0,1,10
150,1962,6,12,6/12/1962,21:30:00,NC,1,0,0,36.1,-79.65,0,0,1,50
151,1962,6,13,6/13/1962,1:37:00,NC,2,0,0,34.3,-78,0,0,0.1,30
152,1962,7,24,7/24/1962,15:00:00,SC,1,0,0,33.43,-80.45,0,0,1,80
153,1962,7,24,7/24/1962,15:00:00,SC,1,0,0,33.7,-80.05,0,0,1,80
154,1962,7,25,7/25/1962,12:00:00,SC,0,0,0,34,-80.47,0,0,0.5,13
155,1962,8,17,8/17/1962,10:30:00,SC,1,0,0,33.83,-78.67,0,0,1.5,10
156,1963,1,20,1/20/1963,21:25:00,NC,1,0,0,34.7,-77.2,0,0,0.1,10
157,1963,2,19,2/19/1963,7:00:00,NC,1,0,0,34.72,-79.3,0,0,0.3,17
158,1963,4,30,4/30/1963,17:30:00,SC,1,0,0,33.23,-81.37,0,0,1,50
159,1963,5,17,5/17/1963,16:00:00,NC,2,0,0,35.3,-80.2,0,0,1,50
160,1963,5,17,5/17/1963,22:00:00,NC,2,2,0,35.7,-77,35.6,-77.1,8.9,50
161,1963,5,17,5/17/1963,22:25:00,NC,1,2,0,34.7,-76.53,0,0,0.3,50
162,1963,5,20,5/20/1963,10:30:00,NC,1,0,0,34.7,-77.42,0,0,0.3,10
163,1963,5,22,5/22/1963,17:15:00,SC,1,0,0,34.17,-80.07,0,0,0.5,100
164,1963,7,14,7/14/1963,15:00:00,NC,2,0,0,36.33,-76.2,0,0,1,30
165,1963,7,18,7/18/1963,11:00:00,SC,0,0,0,33.3,-79.97,0,0,0.2,17
166,1963,7,19,7/19/1963,17:00:00,NC,2,0,0,34.6,-79,0,0,0.1,27
167,1963,7,28,7/28/1963,13:50:00,SC,0,0,0,34.17,-79.75,0,0,1.5,50
168,1963,8,13,8/13/1963,17:20:00,SC,1,0,0,34.33,-82.38,0,0,2,10
169,1963,8,20,8/20/1963,12:30:00,SC,1,0,0,33.4,-80.3,0,0,0.3,30
170,1963,9,28,9/28/1963,17:30:00,SC,2,1,0,33.5,-81.28,0,0,0.5,100
171,1963,9,28,9/28/1963,18:00:00,SC,1,0,0,33.73,-81.1,0,0,2,100
172,1963,9,29,9/29/1963,1:00:00,SC,2,0,0,33.88,-80.22,33.92,-80.13,5.4,100
173,1963,9,29,9/29/1963,1:25:00,SC,1,0,0,34.05,-79.77,0,0,2.5,100
174,1963,9,29,9/29/1963,2:00:00,SC,2,12,3,34.42,-79.37,35.27,-78.33,85.8,100
175,1963,9,29,9/29/1963,2:30:00,NC,2,0,0,35.1,-79.1,35.15,-78.92,11,200
176,1963,9,29,9/29/1963,6:14:00,NC,2,0,0,35.08,-76.9,35.13,-76.8,6.6,30
177,1964,3,15,3/15/1964,8:51:00,NC,1,0,0,36.15,-77,0,0,0.3,27
178,1964,3,15,3/15/1964,15:00:00,NC,0,0,0,35.5,-77.98,0,0,0.1,10
179,1964,4,7,4/7/1964,12:08:00,SC,1,0,0,33.82,-81.88,0,0,0.2,100
180,1964,4,8,4/8/1964,7:00:00,SC,0,0,0,33.38,-81.38,0,0,0.1,10
181,1964,4,8,4/8/1964,9:45:00,SC,1,0,0,32.87,-81.12,0,0,0.5,27
182,1964,4,8,4/8/1964,12:12:00,SC,0,0,0,33.38,-80.35,0,0,0.1,10
183,1964,4,28,4/28/1964,17:30:00,SC,0,0,0,34.88,-82,0,0,0.1,10
184,1964,4,28,4/28/1964,18:30:00,SC,0,0,0,35.05,-82.1,0,0,0.1,10
185,1964,6,18,6/18/1964,17:00:00,SC,1,0,0,33.72,-80.28,0,0,2,133
186,1964,6,21,6/21/1964,21:30:00,SC,1,0,0,34.73,-82.25,0,0,0.6,27
187,1964,6,22,6/22/1964,18:20:00,SC,1,0,0,35,-81.23,0,0,1.5,53
188,1964,7,3,7/3/1964,1:25:00,SC,2,0,0,34.05,-79.77,0,0,2.5,100
189,1964,7,12,7/12/1964,16:00:00,NC,2,1,0,36.4,-79.33,36.52,-79.13,13.6,50
190,1964,7,15,7/15/1964,15:30:00,SC,0,0,0,35.15,-81.57,0,0,1,100
191,1964,8,9,8/9/1964,18:30:00,SC,1,0,0,34.02,-79.77,0,0,0.1,10
192,1964,8,10,8/10/1964,16:45:00,NC,1,0,0,35.18,-80.65,0,0,0.1,10
193,1964,8,29,8/29/1964,0:06:00,SC,2,2,0,32.8,-79.9,0,0,1,67
194,1964,8,29,8/29/1964,3:40:00,SC,1,0,0,33.2,-79.78,0,0,0.5,67
195,1964,8,29,8/29/1964,13:30:00,NC,3,15,0,34.8,-79.43,34.92,-79.78,21.9,50
196,1964,8,29,8/29/1964,15:15:00,SC,2,0,0,34.13,-81.2,0,0,1,67
197,1964,8,29,8/29/1964,16:00:00,SC,1,0,0,34.37,-80.45,0,0,0.1,27
198,1964,8,29,8/29/1964,20:30:00,SC,2,1,0,34.3,-79.87,0,0,0.1,13
199,1964,8,29,8/29/1964,22:59:00,SC,1,0,0,34.12,-79.93,0,0,0.2,20
200,1964,8,30,8/30/1964,3:00:00,NC,1,0,0,34.78,-79.43,0,0,1,10
201,1964,8,31,8/31/1964,15:00:00,NC,1,2,0,35.73,-77.33,35.82,-77.33,5.7,10
202,1964,9,12,9/12/1964,13:00:00,SC,1,0,0,33.68,-78.88,0,0,0.1,33
203,1964,9,12,9/12/1964,20:00:00,NC,0,0,0,33.95,-78.07,0,0,2,10
204,1964,9,13,9/13/1964,6:00:00,NC,1,0,0,34.8,-76.85,0,0,0.1,10
205,1964,10,4,10/4/1964,14:30:00,NC,2,0,0,35.87,-77.07,35.9,-76.1,54.1,50
206,1964,10,4,10/4/1964,17:15:00,NC,2,0,0,34.3,-78.9,34.67,-78.05,54.6,50
207,1964,12,5,12/5/1964,16:30:00,SC,1,0,0,34.03,-79.78,0,0,0.2,13
208,1964,12,24,12/24/1964,23:30:00,SC,0,0,0,34.93,-82.23,0,0,0.2,17
209,1964,12,26,12/26/1964,8:30:00,NC,1,1,0,35.08,-78.8,0,0,0.1,10
210,1965,1,10,1/10/1965,8:15:00,NC,1,0,0,35.07,-83.7,0,0,0.1,10
211,1965,3,17,3/17/1965,18:45:00,SC,0,0,0,34.33,-79.43,0,0,1,30
212,1965,3,17,3/17/1965,20:50:00,NC,3,85,2,35,-77.22,35.23,-76.55,41.3,100
213,1965,3,26,3/26/1965,9:15:00,SC,0,0,0,34.18,-80.97,0,0,0.1,13
214,1965,3,26,3/26/1965,11:00:00,SC,1,0,0,34.05,-79.77,0,0,0.5,33
215,1965,4,9,4/9/1965,2:45:00,NC,2,1,0,36.18,-81.93,0,0,0.5,300
216,1965,4,24,4/24/1965,16:30:00,SC,1,0,0,33,-81.3,0,0,0.1,10
217,1965,4,27,4/27/1965,16:00:00,NC,1,0,0,35.65,-80.5,35.68,-80.42,5.1,250
218,1965,5,8,5/8/1965,16:00:00,SC,1,0,0,33.67,-79.82,0,0,0.8,50
219,1965,5,12,5/12/1965,15:00:00,SC,2,0,0,33.83,-79.05,33.9,-78.8,15,40
220,1965,5,19,5/19/1965,18:00:00,SC,1,0,0,32.47,-80.98,0,0,0.8,100
221,1965,5,20,5/20/1965,17:00:00,SC,1,0,0,34.15,-79.03,0,0,0.5,100
222,1965,5,24,5/24/1965,13:00:00,SC,0,0,0,33.62,-81.1,0,0,0.1,10
223,1965,6,11,6/11/1965,9:40:00,SC,0,0,0,33.3,-80.17,0,0,0.1,10
224,1965,7,5,7/5/1965,16:00:00,SC,1,0,0,32.9,-80,0,0,0.4,20
225,1965,7,15,7/15/1965,15:00:00,NC,2,0,0,34.7,-78,0,0,0.1,10
226,1965,7,23,7/23/1965,17:15:00,SC,1,0,0,33.38,-80.35,0,0,0.5,50
227,1965,7,25,7/25/1965,15:30:00,NC,1,0,0,35.4,-80.5,0,0,0.1,10
228,1965,8,16,8/16/1965,15:40:00,SC,1,0,0,34.4,-80.7,0,0,0.3,77
229,1965,8,17,8/17/1965,17:10:00,SC,3,46,0,33.83,-78.67,0,0,0.3,50
230,1965,8,25,8/25/1965,17:00:00,SC,0,0,0,33.53,-81.68,0,0,0.1,10
231,1965,9,12,9/12/1965,19:30:00,NC,2,0,0,35.3,-80.8,0,0,0.3,70
232,1965,10,7,10/7/1965,1:55:00,SC,1,0,0,32.13,-80.75,0,0,0.2,50
233,1965,10,7,10/7/1965,2:10:00,SC,1,0,0,33.43,-80.68,0,0,0.5,37
234,1965,10,7,10/7/1965,3:00:00,SC,1,0,0,32.92,-80.53,0,0,1.2,100
235,1965,10,7,10/7/1965,5:00:00,SC,2,0,0,34,-79.2,34.02,-79.15,3.3,80
236,1965,10,7,10/7/1965,12:15:00,NC,3,4,1,35.65,-79.83,0,0,1,33
237,1965,10,7,10/7/1965,12:30:00,NC,2,0,0,35.65,-79.4,35.68,-79.3,6.1,27
238,1966,2,13,2/13/1966,9:00:00,NC,1,0,0,36.25,-80.65,0,0,0.5,20
239,1966,2,28,2/28/1966,10:00:00,SC,0,0,0,34.8,-80.4,0,0,0.3,50
240,1966,3,4,3/4/1966,8:00:00,NC,1,0,0,34.5,-78.63,0,0,0.3,10
241,1966,4,5,4/5/1966,13:30:00,NC,1,0,0,35.6,-80.5,0,0,0.1,10
242,1966,4,13,4/13/1966,12:30:00,SC,0,0,0,32.92,-80.05,0,0,0.1,10
243,1966,4,13,4/13/1966,16:30:00,SC,2,0,0,33.87,-79.75,0,0,0.2,17
244,1966,6,29,6/29/1966,17:30:00,SC,1,0,0,34.58,-79.55,0,0,2.3,53
245,1966,8,7,8/7/1966,3:00:00,SC,1,0,0,32.8,-79.95,0,0,2,13
246,1966,8,16,8/16/1966,15:30:00,NC,1,0,0,35.5,-77.67,0,0,0.1,10
247,1966,9,19,9/19/1966,11:00:00,SC,1,0,0,33.55,-80.15,0,0,0.5,100
248,1966,9,19,9/19/1966,11:30:00,SC,1,0,0,32.78,-79.93,0,0,0.1,13
249,1966,9,19,9/19/1966,12:00:00,SC,1,0,0,32.78,-79.87,0,0,1.2,20
250,1966,9,19,9/19/1966,15:00:00,SC,0,0,0,32.9,-80.18,0,0,0.3,13
251,1966,10,1,10/1/1966,11:30:00,SC,2,8,0,34.22,-80.33,34.25,-80.2,8.2,117
252,1966,11,2,11/2/1966,9:30:00,NC,2,9,0,35.5,-78.73,36.3,-78.15,64.5,77
253,1967,3,12,3/12/1967,10:20:00,SC,2,0,0,34.02,-79.75,0,0,1.5,100
254,1967,3,12,3/12/1967,11:00:00,SC,2,0,0,34.03,-79.93,34.13,-79.77,11.7,100
255,1967,4,7,4/7/1967,14:20:00,SC,1,0,0,34.47,-80.63,0,0,2,133
256,1967,4,17,4/17/1967,14:15:00,NC,1,0,0,36.08,-79.57,0,0,2,100
257,1967,5,2,5/2/1967,18:10:00,SC,2,0,0,34.83,-82.42,0,0,1,67
258,1967,5,7,5/7/1967,12:30:00,SC,0,0,0,33.22,-80,0,0,0.3,20
259,1967,5,14,5/14/1967,16:30:00,NC,1,0,0,36.2,-79.58,36.23,-79.48,6.1,900
260,1967,5,14,5/14/1967,16:30:00,NC,0,0,0,36.07,-78.7,0,0,0.1,10
261,1967,5,15,5/15/1967,14:45:00,NC,1,0,0,36.4,-79.93,0,0,0.1,10
262,1967,5,15,5/15/1967,18:15:00,SC,1,0,0,33.88,-80.52,0,0,1,50
263,1967,5,29,5/29/1967,18:00:00,SC,2,3,0,33.92,-80.83,0,0,0.5,20
264,1967,7,11,7/11/1967,13:25:00,NC,1,0,0,35.75,-78.83,0,0,1,27
265,1967,7,12,7/12/1967,17:00:00,SC,0,0,0,34.83,-82.37,0,0,0.1,27
266,1967,7,16,7/16/1967,0:30:00,NC,2,0,0,36.3,-76.2,0,0,0.3,100
267,1967,11,24,11/24/1967,18:10:00,SC,1,0,0,33.92,-80.82,0,0,1,40
268,1967,11,24,11/24/1967,20:30:00,SC,3,1,0,33.93,-79.22,33.95,-79.17,3.3,100
269,1967,12,1,12/1/1967,18:30:00,SC,2,1,0,34.15,-79.03,34.17,-78.8,14.3,93
270,1967,12,3,12/3/1967,8:15:00,NC,2,0,0,34.7,-76.75,0,0,0.1,27
271,1968,3,12,3/12/1968,15:40:00,NC,1,0,0,35.5,-81.3,0,0,2,20
272,1968,3,12,3/12/1968,17:00:00,SC,0,0,0,33.77,-78.78,0,0,0.2,10
273,1968,3,12,3/12/1968,20:52:00,NC,2,0,0,35.42,-76.78,0,0,1,27
274,1968,3,22,3/22/1968,16:30:00,SC,1,0,0,34.63,-82.5,0,0,0.3,13
275,1968,3,22,3/22/1968,17:30:00,SC,1,0,0,35.02,-81.97,0,0,0.5,13
276,1968,4,24,4/24/1968,16:00:00,NC,2,0,0,35.42,-76.8,0,0,2,200
277,1968,5,17,5/17/1968,16:00:00,SC,2,1,0,34.2,-80.2,0,0,1,20
